,condition_in,intake_type,outcome_detail,outcome_type,breed
1334,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1335,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1336,Sick,Wildlife,Suffering,Euthanasia,Skunk
1337,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1338,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1339,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1340,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1341,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
1342,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1343,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
1344,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1345,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1346,Sick,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
1347,Sick,Wildlife,Medical,Euthanasia,Raccoon
1348,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1349,Injured,Wildlife,Suffering,Euthanasia,Raccoon
1350,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1351,Normal,Wildlife,None,Euthanasia,Bat
1352,Injured,Stray,Partner,Transfer,Rabbit Sh Mix
1353,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1354,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1355,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1356,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1357,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1358,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1359,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1360,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1361,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1362,Normal,Stray,Partner,Transfer,Lop-Mini Mix
1363,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1364,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1365,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1366,Injured,Wildlife,Rabies Risk,Euthanasia,Coyote Mix
1367,Normal,Wildlife,None,Euthanasia,Bat Mix
1368,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1369,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
1370,Normal,Wildlife,None,Euthanasia,Bat Mix
1371,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1372,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1373,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1374,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1375,Normal,Wildlife,In Kennel,Died,Bat Mix
1376,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1377,Other,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1378,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1379,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk
1380,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1381,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1382,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
1383,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1384,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1385,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1386,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1387,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1388,Nursing,Stray,Partner,Transfer,Lop-Mini Mix
1389,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1390,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1391,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1392,Sick,Stray,Rabies Risk,Euthanasia,Raccoon Mix
1393,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1394,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1395,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1396,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1397,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1398,Injured,Stray,Suffering,Euthanasia,Opossum Mix
1399,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1400,Normal,Stray,None,Adoption,Chicken Mix
1401,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1402,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1403,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1404,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1405,Normal,Stray,Rabies Risk,Euthanasia,Bat Mix
1406,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1407,Sick,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
1408,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1409,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
1410,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1411,Injured,Wildlife,Suffering,Euthanasia,Fox
1412,Injured,Stray,Partner,Transfer,Rabbit Sh Mix
1413,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1414,Injured,Stray,Partner,Transfer,Duck
1415,Normal,Stray,Partner,Transfer,New Zealand Wht Mix
1416,Normal,Stray,Partner,Transfer,New Zealand Wht Mix
1417,Normal,Stray,Partner,Transfer,New Zealand Wht Mix
1418,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1419,Normal,Stray,Partner,Transfer,Californian Mix
1420,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1421,Normal,Stray,None,Adoption,Ferret Mix
1422,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1423,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1424,Normal,Owner Surrender,Partner,Transfer,Chicken Mix
1425,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1426,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1427,Normal,Owner Surrender,Partner,Transfer,Hamster Mix
1428,Normal,Owner Surrender,None,Adoption,Finch
1429,Normal,Owner Surrender,None,Adoption,Finch
1430,Normal,Owner Surrender,None,Adoption,Parakeet
1431,Normal,Owner Surrender,None,Adoption,Parakeet
1432,Sick,Euthanasia Request,Suffering,Euthanasia,Ferret
1433,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1434,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
1435,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1436,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1437,Normal,Wildlife,Partner,Transfer,Mouse Mix
1438,Normal,Owner Surrender,Partner,Transfer,Hotot Mix
1439,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1440,Sick,Wildlife,Medical,Euthanasia,Opossum Mix
1441,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1442,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1443,Normal,Stray,None,Adoption,Turkey Mix
1444,Normal,Stray,None,Adoption,Turkey Mix
1445,Normal,Stray,None,Adoption,Guinea Mix
1446,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1447,Sick,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
1448,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1449,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1450,Injured,Wildlife,Medical,Euthanasia,Opossum
1451,Normal,Owner Surrender,Partner,Transfer,Hamster Mix
1452,Sick,Wildlife,Medical,Euthanasia,Opossum Mix
1453,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1454,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1455,Injured,Wildlife,Suffering,Euthanasia,Opossum
1456,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1457,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
1458,Normal,Public Assist,None,Return to Owner,Conure
1459,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1460,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1461,Normal,Stray,Rabies Risk,Euthanasia,Raccoon Mix
1462,Normal,Stray,Partner,Transfer,Guinea Pig Mix
1463,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1464,Injured,Stray,Suffering,Euthanasia,Chicken Mix
1465,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1466,Injured,Stray,Suffering,Euthanasia,Opossum Mix
1467,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1468,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1469,Normal,Wildlife,Partner,Transfer,Rabbit Sh
1470,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1471,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1472,Sick,Owner Surrender,Suffering,Euthanasia,Rabbit Sh
1473,Sick,Owner Surrender,Suffering,Euthanasia,Rabbit Sh
1474,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1475,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1476,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1477,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1478,Normal,Owner Surrender,Partner,Transfer,Lionhead Mix
1479,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1480,Normal,Stray,None,Return to Owner,Lop-English Mix
1481,Normal,Public Assist,None,Return to Owner,Hamster
1482,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1483,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1484,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1485,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1486,Normal,Public Assist,None,Return to Owner,Lizard Mix
1487,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1488,Injured,Wildlife,Suffering,Euthanasia,Opossum
1489,Injured,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1490,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
1491,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1492,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1493,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
1494,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1495,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1496,Sick,Euthanasia Request,Suffering,Euthanasia,Chicken Mix
1497,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
1498,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1499,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1500,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1501,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1502,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1503,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1504,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1505,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1506,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1507,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1508,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1509,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1510,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1511,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1512,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1513,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1514,Sick,Wildlife,Suffering,Euthanasia,Fox Mix
1515,Normal,Stray,Suffering,Euthanasia,Chicken
1516,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1517,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk
1518,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon
1519,Injured,Stray,Foster,Adoption,Parakeet Mix
1520,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1521,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1522,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1523,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1524,Normal,Wildlife,None,Died,Bat
1525,Normal,Wildlife,None,Died,Bat
1526,Normal,Wildlife,None,Died,Bat
1527,Normal,Wildlife,None,Died,Bat
1528,Normal,Wildlife,None,Died,Bat
1529,Normal,Wildlife,None,Died,Bat
1530,Normal,Wildlife,None,Died,Bat
1531,Normal,Wildlife,None,Died,Bat
1532,Normal,Wildlife,None,Died,Bat
1533,Normal,Wildlife,None,Died,Bat
1534,Normal,Wildlife,None,Died,Bat
1535,Normal,Wildlife,None,Died,Bat
1536,Normal,Wildlife,None,Died,Bat
1537,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1538,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1539,Normal,Owner Surrender,Partner,Transfer,Cinnamon
1540,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
1541,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1542,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1543,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1544,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1545,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1546,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1547,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1548,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1549,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1550,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1551,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1552,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1553,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1554,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1555,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1556,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
1557,Normal,Stray,Foster,Adoption,
1558,Normal,Stray,Foster,Adoption,
1559,Normal,Stray,Partner,Transfer,Hamster Mix
1560,Normal,Stray,Partner,Transfer,Hamster Mix
1561,Normal,Stray,Partner,Transfer,Hamster Mix
1562,Normal,Stray,Partner,Transfer,Hamster Mix
1563,Normal,Stray,Partner,Transfer,Hamster Mix
1564,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1565,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1566,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1567,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1568,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1569,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
1570,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1571,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1572,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1573,Injured,Wildlife,Suffering,Euthanasia,Rabbit Sh Mix
1574,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
1575,Normal,Wildlife,None,Died,Bat Mix
1576,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1577,Injured,Wildlife,Medical,Euthanasia,Squirrel
1578,Normal,Stray,None,Return to Owner,Quaker Mix
1579,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1580,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1581,Normal,Stray,Partner,Transfer,Lop-English Mix
1582,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1583,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1584,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1585,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1586,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1587,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1588,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1589,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1590,Normal,Stray,Partner,Transfer,Rabbit Lh
1591,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1592,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1593,Sick,Wildlife,Medical,Euthanasia,Opossum Mix
1594,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1595,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1596,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1597,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1598,Normal,Stray,Partner,Transfer,Pigeon Mix
1599,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
1600,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1601,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1602,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1603,Injured,Stray,Suffering,Euthanasia,Squirrel Mix
1604,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1605,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1606,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1607,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1608,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1609,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1610,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1611,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1612,Injured,Wildlife,Suffering,Euthanasia,Squirrel
1613,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1614,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
1615,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1616,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1617,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1618,Injured,Wildlife,In Kennel,Died,Rabbit Sh
1619,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1620,Normal,Wildlife,Partner,Transfer,Turtle Mix
1621,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1622,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1623,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
1624,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1625,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1626,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1627,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1628,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1629,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1630,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1631,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1632,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1633,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1634,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1635,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1636,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
1637,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1638,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1639,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1640,Normal,Stray,Partner,Transfer,Guinea Pig Mix
1641,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1642,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1643,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1644,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1645,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1646,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1647,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1648,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1649,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
1650,Normal,Stray,Rabies Risk,Euthanasia,Bat
1651,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1652,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1653,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1654,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1655,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1656,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1657,Sick,Owner Surrender,Partner,Transfer,Parakeet Mix
1658,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1659,Normal,Wildlife,None,Died,Bat Mix
1660,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1661,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1662,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1663,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1664,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1665,Sick,Stray,Rabies Risk,Euthanasia,Raccoon Mix
1666,Sick,Public Assist,Rabies Risk,Euthanasia,Skunk Mix
1667,Injured,Wildlife,Suffering,Euthanasia,Opossum
1668,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1669,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1670,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1671,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1672,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1673,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1674,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1675,Injured,Wildlife,Medical,Euthanasia,Squirrel Mix
1676,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1677,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1678,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
1679,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
1680,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1681,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
1682,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1683,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1684,Injured,Wildlife,Medical,Euthanasia,Opossum Mix
1685,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1686,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1687,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1688,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1689,Injured,Wildlife,Suffering,Euthanasia,Raccoon Mix
1690,Normal,Public Assist,Partner,Transfer,Lizard Mix
1691,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1692,Injured,Stray,Partner,Transfer,Rabbit Sh Mix
1693,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1694,Normal,Stray,Partner,Transfer,Californian Mix
1695,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
1696,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1697,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1698,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1699,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1700,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
1701,Normal,Stray,Partner,Transfer,American Sable Mix
1702,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1703,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1704,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1705,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1706,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1707,Injured,Wildlife,Medical,Euthanasia,Opossum
1708,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1709,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1710,Injured,Wildlife,Suffering,Euthanasia,Chicken
1711,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1712,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
1713,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1714,Normal,Stray,Partner,Transfer,Guinea Pig
1715,Normal,Stray,Partner,Transfer,Guinea Pig
1716,Normal,Stray,None,Euthanasia,Raccoon Mix
1717,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1718,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1719,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1720,Normal,Stray,None,Return to Owner,Rabbit Sh Mix
1721,Normal,Owner Surrender,Partner,Transfer,Gerbil Mix
1722,Normal,Owner Surrender,Partner,Transfer,Gerbil Mix
1723,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1724,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1725,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1726,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1727,Injured,Wildlife,Suffering,Euthanasia,Opossum
1728,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1729,Normal,Owner Surrender,Partner,Transfer,Angora-French Mix
1730,Sick,Wildlife,Suffering,Euthanasia,Squirrel
1731,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1732,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
1733,Injured,Wildlife,Partner,Transfer,Dove
1734,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
1735,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1736,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1737,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1738,Normal,Stray,None,Adoption,Parakeet Mix
1739,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1740,Injured,Wildlife,Suffering,Euthanasia,Squirrel
1741,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1742,Injured,Wildlife,Suffering,Euthanasia,Opossum
1743,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
1744,Injured,Wildlife,Aggressive,Euthanasia,Squirrel Mix
1745,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1746,Normal,Wildlife,In Kennel,Died,Bat
1747,Injured,Stray,Suffering,Euthanasia,Bluebird Mix
1748,Normal,Stray,None,Adoption,Conure
1749,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
1750,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
1751,Normal,Stray,Partner,Transfer,Pig Mix
1752,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1753,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1754,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
1755,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1756,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1757,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
1758,Normal,Wildlife,In Kennel,Died,Bat
1759,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1760,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1761,Injured,Wildlife,Medical,Euthanasia,Opossum
1762,Injured,Wildlife,Suffering,Euthanasia,Turtle Mix
1763,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
1764,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
